team_abbv,book,moneyline,spread,spread_odds,total,over_odds,under_odds,game_id,game_code,date,season
CHR,Opening,220,7.0,-110,218.0,-110,-110,1028948,201812230BOS,2018-12-23 18:00:00,18-19
BOS,Opening,-260,-7.0,-110,218.0,-110,-110,1028948,201812230BOS,2018-12-23 18:00:00,18-19
CHR,BetOnline,250,7.5,-110,217.0,-110,-110,1028948,201812230BOS,2018-12-23 18:00:00,18-19
BOS,BetOnline,-300,-7.5,-110,217.0,-110,-110,1028948,201812230BOS,2018-12-23 18:00:00,18-19
CHR,Intertops,250,7.5,-115,217.0,-110,-110,1028948,201812230BOS,2018-12-23 18:00:00,18-19
BOS,Intertops,-300,-7.5,-105,217.0,-110,-110,1028948,201812230BOS,2018-12-23 18:00:00,18-19
CHR,SportsBetting,250,7.5,-110,217.0,-110,-110,1028948,201812230BOS,2018-12-23 18:00:00,18-19
BOS,SportsBetting,-300,-7.5,-110,217.0,-110,-110,1028948,201812230BOS,2018-12-23 18:00:00,18-19
CHR,BetNow,255,7.5,-110,217.0,-110,-110,1028948,201812230BOS,2018-12-23 18:00:00,18-19
BOS,BetNow,-310,-7.5,-110,217.0,-110,-110,1028948,201812230BOS,2018-12-23 18:00:00,18-19
CHR,MyBookie,255,8.0,-110,216.5,-110,-110,1028948,201812230BOS,2018-12-23 18:00:00,18-19
BOS,MyBookie,-315,-8.0,-110,216.5,-110,-110,1028948,201812230BOS,2018-12-23 18:00:00,18-19
CHR,GTBets,255,7.5,-109,217.0,-109,-109,1028948,201812230BOS,2018-12-23 18:00:00,18-19
BOS,GTBets,-310,-7.5,-109,217.0,-109,-109,1028948,201812230BOS,2018-12-23 18:00:00,18-19
CHR,SkyBook,-999,-999.0,-999,-999.0,-999,-999,1028948,201812230BOS,2018-12-23 18:00:00,18-19
BOS,SkyBook,-999,-999.0,-999,-999.0,-999,-999,1028948,201812230BOS,2018-12-23 18:00:00,18-19
