team,17-18,18-19,19-20,20-21,site,type
ATL,2.136219512,-0.136609756,0.311911765,0.144840909,home,my_rank
BOS,1.563134615,0.681644444,-0.185704545,0.101025641,home,my_rank
BRK,-1.64202439,-0.150465116,-1.927789474,-3.973465116,home,my_rank
CHI,3.310560976,4.634243902,3.696558824,0.021777778,home,my_rank
CHO,-0.656121951,-1.575829268,3.531741935,3.0755,home,my_rank
CLE,-2.768865385,3.944439024,4.349861111,5.272722222,home,my_rank
DAL,4.882853659,1.600926829,-1.604731707,-0.417666667,home,my_rank
DEN,-2.26904878,-0.01177551,2.316152174,-0.812634146,home,my_rank
DET,2.230658537,1.858186047,2.135666667,3.214777778,home,my_rank
GSW,-7.544711538,-4.578480769,2.369294118,0.569378378,home,my_rank
HOU,-5.270509804,0.010425532,-3.558761905,0.834361111,home,my_rank
IND,-0.731318182,1.928046512,1.463921053,-1.018027027,home,my_rank
LAC,-2.01395122,-2.19975,-2.343372093,-0.9965,home,my_rank
LAL,-1.964414634,-2.840609756,-1.200404255,-0.07035,home,my_rank
MEM,6.513073171,7.991414634,1.418459459,-0.275025641,home,my_rank
MIA,2.871418605,2.368121951,0.449043478,3.863631579,home,my_rank
MIL,0.840159091,-4.714163265,-8.574804878,-6.393659574,home,my_rank
MIN,-1.151883721,-0.151097561,-2.1890625,0.184611111,home,my_rank
NOP,-3.266911111,-5.462097561,-3.637111111,-2.784388889,home,my_rank
NYK,1.677560976,2.58802439,4.718030303,5.021358974,home,my_rank
OKC,-0.374818182,-2.932488372,1.424375,3.2785,home,my_rank
ORL,0.212512195,4.031325581,6.175081081,4.165944444,home,my_rank
PHI,-1.748869565,-3.24387234,-0.549108108,-0.871348837,home,my_rank
PHO,-1.087195122,3.650585366,0.146384615,0.070617021,home,my_rank
POR,1.087488372,-0.147102041,-0.985897436,-1.441051282,home,my_rank
SAC,6.050512195,-2.228487805,2.139485714,-1.653055556,home,my_rank
SAS,3.219930233,1.116727273,-1.092058824,0.001138889,home,my_rank
TOR,-3.31876087,-2.283796296,-0.715595238,0.643361111,home,my_rank
UTA,4.541130435,1.08672093,2.355657895,-1.572571429,home,my_rank
WAS,-1.738431818,-1.905097561,-4.590111111,-3.148179487,home,my_rank
ATL,1.967097561,0.437195122,-0.357090909,-0.102130435,away,my_rank
BOS,1.251755102,0.741608696,-0.026333333,0.336051282,away,my_rank
BRK,-1.594780488,-0.040613636,-2.217710526,-4.390634146,away,my_rank
CHI,3.269097561,4.657512195,3.305741935,-0.082305556,away,my_rank
CHO,-1.246878049,-1.167195122,4.010117647,3.165243243,away,my_rank
CLE,-2.765269231,4.142073171,5.147931034,4.796583333,away,my_rank
DAL,4.692829268,1.712317073,-2.20355,-0.493425,away,my_rank
DEN,-2.743634146,0.059595745,2.376804348,-1.221463415,away,my_rank
DET,2.160756098,1.848674419,1.995212121,3.650944444,away,my_rank
GSW,-7.392019608,-4.605673077,1.484451613,0.291837838,away,my_rank
HOU,-5.680270833,0.093478261,-4.415928571,0.265805556,away,my_rank
IND,-0.5638,1.894906977,1.599128205,-1.266324324,away,my_rank
LAC,-2.077365854,-2.410454545,-2.338761905,-1.302244444,away,my_rank
LAL,-1.834414634,-2.95702439,-1.798,0.157128205,away,my_rank
MEM,7.220731707,7.643,0.402297297,-0.909975,away,my_rank
MIA,3.395386364,2.425073171,0.891166667,3.711973684,away,my_rank
MIL,0.867422222,-4.777354167,-8.226166667,-6.599833333,away,my_rank
MIN,-0.786931818,-0.836146341,-1.86459375,0.362166667,away,my_rank
NOP,-3.036043478,-4.837780488,-3.9755,-2.638944444,away,my_rank
NYK,1.67302439,2.273487805,4.688060606,5.344052632,away,my_rank
OKC,-0.645909091,-2.524568182,0.977179487,3.328333333,away,my_rank
ORL,-0.02195122,3.825863636,5.799268293,4.657583333,away,my_rank
PHI,-1.868630435,-3.398255319,-0.439325,-1.257707317,away,my_rank
PHO,-1.097658537,3.851121951,-0.306705882,-0.361765957,away,my_rank
POR,1.269232558,-0.387081633,-0.592609756,-1.505538462,away,my_rank
SAC,6.022146341,-1.937219512,1.562297297,-1.3175,away,my_rank
SAS,3.311386364,0.908,-0.941486486,0.120567568,away,my_rank
TOR,-3.003304348,-2.684980769,-1.024609756,0.061472222,away,my_rank
UTA,4.234,1.499363636,1.587853659,-1.220536585,away,my_rank
WAS,-1.452590909,-2.335560976,-4.381972222,-3.45725,away,my_rank
ATL,3.335240275,3.629042719,3.406065089,-1.911872057,home,market
BOS,-3.873530741,-6.791510368,-5.574081944,-2.834067915,home,market
BRK,2.243379691,-0.653260031,-0.20960657,-5.365726461,home,market
CHI,3.601646461,4.384379293,0.296421527,0.892734834,home,market
CHO,-3.640199978,-3.183157925,3.884519932,1.696817828,home,market
CLE,-6.188499226,5.637537382,4.270804829,6.040882182,home,market
DAL,1.602688834,-0.78382817,-4.137270156,-3.42174633,home,market
DEN,-4.95144183,-6.820093178,-4.086750392,-4.653469144,home,market
DET,-2.72821754,-2.155885781,0.528455285,4.825104085,home,market
GSW,-10.21658986,-9.849696723,6.072590871,-1.488308954,home,market
HOU,-9.35849026,-6.657970414,-6.323534137,4.667123288,home,market
IND,-2.065362451,-4.377832842,-3.153574603,-0.691249842,home,market
LAC,-2.105402824,-2.56035313,-8.33664986,-6.075546055,home,market
LAL,1.501416256,-0.874049071,-8.519979519,-4.554481022,home,market
MEM,1.366582811,0.463122688,1.150461681,-0.588459821,home,market
MIA,-3.300348978,-2.579297648,-3.395825467,-3.25825603,home,market
MIL,-4.527807775,-8.707253264,-10.57997996,-7.022935612,home,market
MIN,-5.40003882,-1.258465126,-0.111440742,3.932377049,home,market
NOP,-2.780281955,-1.088971359,-1.073248495,-1.437696773,home,market
NYK,1.932134571,5.451036634,3.360128149,0.153621284,home,market
OKC,-6.686154079,-6.767822934,-2.256544598,6.878439696,home,market
ORL,2.107061318,-0.568425201,-1.015283757,4.610965864,home,market
PHI,-5.596951659,-6.453994098,-5.57396164,-5.905675589,home,market
PHO,5.476500496,5.171188187,-1.122156605,-5.351030928,home,market
POR,-4.43297987,-4.566807644,-1.976352107,-3.610777577,home,market
SAC,4.16404707,-0.226154445,-0.03230897,0.073096222,home,market
SAS,-5.301598156,-4.449179028,-1.932135771,-0.075034341,home,market
TOR,-7.700711382,-7.429220679,-5.141422834,-1.157967033,home,market
UTA,-4.258293979,-7.499238808,-6.54825228,-8.305741567,home,market
WAS,-4.437557853,-1.869138072,2.449431818,1.176997121,home,market
ATL,7.967261905,8.822616186,7.410514053,1.765440954,away,market
BOS,0.629545455,-1.400474651,-1.37942138,0.063860329,away,market
BRK,6.966748768,4.814038031,3.84180245,-2.201857822,away,market
CHI,8.123853211,8.31630291,4.312549112,3.540190802,away,market
CHO,2.264162562,3.727743271,8.25503663,4.497880952,away,market
CLE,-0.943130188,10.51088147,9.852955665,6.451961655,away,market
DAL,6.608210181,5.60002306,-0.12945371,-0.757834384,away,market
DEN,1.197814742,0.134443681,0.883107825,-1.443554422,away,market
DET,2.849649533,3.733624126,5.849507643,7.309268942,away,market
GSW,-5.873737041,-4.85444148,8.851326198,1.271595238,away,market
HOU,-4.093732424,-1.308799732,-2.331044398,6.317206152,away,market
IND,3.238020365,1.424536732,0.253073593,0.421950598,away,market
LAC,3.258989726,3.057418205,-3.542619627,-2.875064281,away,market
LAL,5.609646962,2.563719162,-4.246487559,-1.236764178,away,market
MEM,7.410142203,5.497267642,5.909608844,1.804095355,away,market
MIA,2.777070669,2.745075368,0.93529912,-0.421363636,away,market
MIL,1.459569788,-3.744275609,-6.814194359,-4.869185628,away,market
MIN,1.033179724,3.331897844,5.915840469,6.188483865,away,market
NOP,2.10025405,3.766551922,3.497699304,1.570482337,away,market
NYK,6.983418367,9.221039377,7.342107179,3.476988218,away,market
OKC,-1.559918935,-1.025001347,2.56390749,8.770359105,away,market
ORL,7.037807882,4.87188791,3.683824923,7.026033579,away,market
PHI,0.250739128,0.345018334,0.227945665,-3.063544528,away,market
PHO,9.304690586,9.716356737,3.643570722,-2.327918744,away,market
POR,1.549164871,1.234250387,2.872006129,0.289129464,away,market
SAC,8.738916256,4.78454098,3.924264897,4.31927593,away,market
SAS,0.334451774,1.529088797,2.944367498,2.293158688,away,market
TOR,-2.634438776,-1.958005783,-1.202176202,1.599975538,away,market
UTA,2.428014748,-1.400076416,-1.658291667,-5.167371554,away,market
WAS,0.996178874,3.683467046,6.170029594,4.193604449,away,market
ATL,4.048780488,4.024390244,2.764705882,-5.409090909,home,real
BOS,-5.730769231,-6.155555556,-7.409090909,-3,home,real
BRK,3.097560976,-1.953488372,-0.289473684,-7.627906977,home,real
CHI,4.585365854,9.804878049,1.5,1.694444444,home,real
CHO,-1.926829268,-3.682926829,5.290322581,0.111111111,home,real
CLE,-1.769230769,7.341463415,6.5,6.861111111,home,real
DAL,0.073170732,-2.341463415,-4.048780488,0.820512821,home,real
DEN,-5.975609756,-9.795918367,-3.434782609,-5.463414634,home,real
DET,-3.12195122,-1.534883721,2.060606061,3.055555556,home,real
GSW,-9.346153846,-5.5,8.705882353,-4.945945946,home,real
HOU,-8.764705882,-7.531914894,-5.738095238,8.444444444,home,real
IND,-3.522727273,-7,-4.236842105,1.945945946,home,real
LAC,-1.024390244,-1.840909091,-7.837209302,-6.956521739,home,real
LAL,-0.87804878,0.170731707,-7.468085106,-3.075,home,real
MEM,2.731707317,-0.43902439,-1.216216216,0.871794872,home,real
MIA,-1.395348837,-0.243902439,-7.5,0.763157895,home,real
MIL,-1.75,-12.2244898,-11.24390244,-8.872340426,home,real
MIN,-5.348837209,-2.87804878,4.65625,6.222222222,home,real
NOP,-1.733333333,0.87804878,-1.277777778,-1.416666667,home,real
NYK,-1.073170732,7.853658537,5.090909091,-3.641025641,home,real
OKC,-5.25,-4.604651163,-4.375,12.05555556,home,real
ORL,3.585365854,-1.906976744,1.108108108,9,home,real
PHI,-8.130434783,-8.340425532,-8.189189189,-8.651162791,home,real
PHO,10.29268293,6.292682927,-1.871794872,-8.70212766,home,real
POR,-4.139534884,-7.510204082,-1.230769231,-1.256410256,home,real
SAC,5.268292683,-1.43902439,1.857142857,4.472222222,home,real
SAS,-7.023255814,-6.681818182,-1.794117647,3.305555556,home,real
TOR,-9.52173913,-8.037037037,-6.404761905,-1.5,home,real
UTA,-6.913043478,-7.790697674,-4.289473684,-11.95238095,home,real
WAS,-3.363636364,-1.756097561,1.861111111,-0.076923077,home,real
ATL,6.853658537,8.024390244,13.33333333,2.130434783,away,real
BOS,-0.183673469,-1.608695652,-4.733333333,1.282051282,away,real
BRK,4.390243902,3.295454545,3.526315789,-1.756097561,away,real
CHI,9.487804878,7.024390244,4.806451613,0.083333333,away,real
CHO,1.414634146,5.87804878,8.088235294,4.378378378,away,real
CLE,1.019230769,11.87804878,9.620689655,10.02777778,away,real
DAL,6,4.902439024,-3.675,-3.975,away,real
DEN,3.024390244,2.765957447,1.02173913,-1.853658537,away,real
DET,3.414634146,4.209302326,5.060606061,5.888888889,away,real
GSW,-4.196078431,-6.115384615,8.709677419,3.108108108,away,real
HOU,-5.8125,-1.565217391,0.452380952,7.361111111,away,real
IND,0.044444444,1.348837209,1.538461538,-1.864864865,away,real
LAC,0.951219512,1.590909091,-4.333333333,-4.488888889,away,real
LAL,3.975609756,3.268292683,-4.533333333,-1.076923077,away,real
MEM,9.682926829,5.634146341,3.432432432,-1.875,away,real
MIA,1.704545455,0.707317073,1.833333333,1.342105263,away,real
MIL,2.355555556,-5.416666667,-6.833333333,-2.604166667,away,real
MIN,2.068181818,5.87804878,3.9375,4.888888889,away,real
NOP,-0.47826087,1.780487805,3.861111111,2,away,real
NYK,8.195121951,10.56097561,7.818181818,0.289473684,away,real
OKC,-0.522727273,-1.181818182,1.974358974,9.222222222,away,real
ORL,6.048780488,2.181818182,1.926829268,9.611111111,away,real
PHI,-0.739130435,2.872340426,4.4,-2.926829268,away,real
PHO,8.43902439,12.3902439,1.676470588,-2.29787234,away,real
POR,0.023255814,0.93877551,4.43902439,-1.846153846,away,real
SAC,8.707317073,3.682926829,2.216216216,2.888888889,away,real
SAS,2.477272727,3.755555556,3.783783784,0.27027027,away,real
TOR,-3.391304348,-3.769230769,-5.487804878,2.444444444,away,real
UTA,-0.234042553,-1.136363636,-0.951219512,-3.780487805,away,real
WAS,2.545454545,7.56097561,7.472222222,4.9,away,real
